[17:57:54] === overnight sweep start: 17 benches, iter_cap=500000, time_cap=35.0min, deadline=11.5h ===
[17:57:55] ibm01: fresh start from legalized reference
[20:25:31] ibm11: 240000 iters, fast=0.9206 tilos=0.9206 ov=0 (473s)
[20:26:11] ibm11: 260000 iters, fast=0.9198 tilos=0.9198 ov=0 (512s)
[20:26:50] ibm11: 280000 iters, fast=0.9191 tilos=0.9191 ov=0 (552s)
[20:27:30] ibm11: 300000 iters, fast=0.9183 tilos=0.9183 ov=0 (591s)
[20:28:10] ibm11: 320000 iters, fast=0.9178 tilos=0.9178 ov=0 (631s)
[20:28:49] ibm11: 340000 iters, fast=0.9170 tilos=0.9170 ov=0 (670s)
[20:29:29] ibm11: 360000 iters, fast=0.9165 tilos=0.9165 ov=0 (710s)
[20:30:08] ibm11: 380000 iters, fast=0.9156 tilos=0.9156 ov=0 (750s)
[20:30:48] ibm11: 400000 iters, fast=0.9151 tilos=0.9151 ov=0 (789s)
[20:31:28] ibm11: 420000 iters, fast=0.9144 tilos=0.9144 ov=0 (829s)
[20:32:07] ibm11: 440000 iters, fast=0.9137 tilos=0.9137 ov=0 (869s)
[20:32:47] ibm11: 460000 iters, fast=0.9135 tilos=0.9135 ov=0 (909s)
[20:33:27] ibm11: 480000 iters, fast=0.9128 tilos=0.9128 ov=0 (948s)
[20:34:07] ibm11: 500000 iters, fast=0.9124 tilos=0.9124 ov=0 (988s)
[20:34:07] ibm11: DONE (500000 iters, 988s)
[20:34:19] ibm12: fresh start from legalized reference
[20:35:25] ibm12: 20000 iters, fast=1.3565 tilos=1.3565 ov=0 (44s)
[20:36:24] ibm12: 40000 iters, fast=1.3145 tilos=1.3145 ov=0 (103s)
[20:37:24] ibm12: 60000 iters, fast=1.2820 tilos=1.2820 ov=0 (163s)
[20:38:24] ibm12: 80000 iters, fast=1.2651 tilos=1.2651 ov=0 (223s)
[20:39:23] ibm12: 100000 iters, fast=1.2522 tilos=1.2522 ov=0 (282s)
[20:40:23] ibm12: 120000 iters, fast=1.2427 tilos=1.2427 ov=0 (342s)
[20:41:23] ibm12: 140000 iters, fast=1.2369 tilos=1.2369 ov=0 (402s)
[20:42:22] ibm12: 160000 iters, fast=1.2324 tilos=1.2324 ov=0 (462s)
[20:43:24] ibm12: 180000 iters, fast=1.2284 tilos=1.2284 ov=0 (521s)
[20:44:24] ibm12: 200000 iters, fast=1.2247 tilos=1.2247 ov=0 (583s)
[20:45:23] ibm12: 220000 iters, fast=1.2222 tilos=1.2222 ov=0 (643s)
[20:46:23] ibm12: 240000 iters, fast=1.2208 tilos=1.2208 ov=0 (703s)
[20:47:23] ibm12: 260000 iters, fast=1.2194 tilos=1.2194 ov=0 (762s)
[20:48:23] ibm12: 280000 iters, fast=1.2181 tilos=1.2181 ov=0 (822s)
[20:49:23] ibm12: 300000 iters, fast=1.2169 tilos=1.2169 ov=0 (883s)
[20:50:23] ibm12: 320000 iters, fast=1.2161 tilos=1.2161 ov=0 (943s)
[20:51:23] ibm12: 340000 iters, fast=1.2156 tilos=1.2156 ov=0 (1003s)
[20:52:23] ibm12: 360000 iters, fast=1.2152 tilos=1.2152 ov=0 (1062s)
[20:53:24] ibm12: 380000 iters, fast=1.2149 tilos=1.2149 ov=0 (1123s)
[20:54:24] ibm12: 400000 iters, fast=1.2146 tilos=1.2146 ov=0 (1184s)
[20:55:24] ibm12: 420000 iters, fast=1.2142 tilos=1.2142 ov=0 (1244s)
[20:56:26] ibm12: 440000 iters, fast=1.2135 tilos=1.2135 ov=0 (1304s)
[20:57:28] ibm12: 460000 iters, fast=1.2131 tilos=1.2131 ov=0 (1365s)
[20:58:28] ibm12: 480000 iters, fast=1.2126 tilos=1.2126 ov=0 (1427s)
[20:59:28] ibm12: 500000 iters, fast=1.2122 tilos=1.2122 ov=0 (1487s)
[20:59:28] ibm12: DONE (500000 iters, 1487s)
[20:59:32] ibm13: fresh start from legalized reference
[21:00:22] ibm13: 20000 iters, fast=1.0714 tilos=1.0714 ov=0 (42s)
[21:01:11] ibm13: 40000 iters, fast=1.0397 tilos=1.0397 ov=0 (90s)
[21:01:59] ibm13: 60000 iters, fast=1.0254 tilos=1.0254 ov=0 (139s)
[21:02:47] ibm13: 80000 iters, fast=1.0175 tilos=1.0175 ov=0 (187s)
[21:03:36] ibm13: 100000 iters, fast=1.0114 tilos=1.0114 ov=0 (235s)
[21:04:24] ibm13: 120000 iters, fast=1.0082 tilos=1.0082 ov=0 (284s)
